standard_name,units,long_name,out_name
floating_ice_shelf_area_fraction,%,Floating Ice Shelf Area Percentage,sftflf
volume_fraction_of_condensed_water_in_soil_at_wilting_point,%,Wilting Point,wilt
volume_fraction_of_condensed_water_in_soil_at_field_capacity,%,Field Capacity,fldcapacity
volume_fraction_of_clay_in_soil,1,Clay Fraction,clayfrac
volume_fraction_of_silt_in_soil,1,Silt Fraction,siltfrac
volume_fraction_of_sand_in_soil,1,Sand Fraction,sandfrac
soil_hydraulic_conductivity_at_saturation,micron s-1,Saturated Hydraulic Conductivity,ksat
root_mass_content_of_carbon,kg m-2,Root Distribution,rootdsl
cell_thickness,m,Thickness of Soil Layers,slthick
mass_fraction_of_carbon_dioxide_tracer_in_air,kg kg-1,3D-Field of Transported CO2,co23D
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Model Soil Pool,cSoil
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Soil Pool Above 1m Depth,cSoilAbove1m
vegetation_mass_content_of_14C,kg m-2,Mass of 14C in Vegetation,c14Veg
litter_mass_content_of_14C,kg m-2,Mass of 14C in Litter Pool,c14Litter
soil_mass_content_of_14C,kg m-2,Mass of 14C in Soil Pool,c14Soil
vegetation_mass_content_of_13C,kg m-2,Mass of 13C in Vegetation,c13Veg
litter_mass_content_of_13C,kg m-2,Mass of 13C in Litter Pool,c13Litter
soil_mass_content_of_13C,kg m-2,Mass of 13C in Soil Pool,c13Soil
mass_content_of_13C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,Mass of 13C in All Terrestrial Carbon Pools,c13Land
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_plant_respiration,kg m-2 s-1,Carbon-14 Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],rac14
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_heterotrophic_respiration,kg m-2 s-1,Carbon-13 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],rhc13
mole_concentration_of_dissolved_inorganic_14C_in_sea_water,mol m-3,Dissolved Inorganic Carbon-14 Concentration,dissi14c
liquid_water_content_of_soil_layer,kg m-2,Soil Liquid Water Content,mrlso
mass_flux_of_carbon_into_sea_water_from_rivers,kg m-2 s-1,Lateral Transfer of Carbon out of Grid Cell That Eventually Goes into Ocean,fCLandToOcean
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_fires,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire [kgC m-2 s-1],fFireNat
tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_forestry_and_agricultural_products,kg m-2 s-1,Decomposition out of Product Pools to CO2 in Atmosphere as Carbon Mass Flux [kgC m-2 s-1],fProductDecomp
tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]",fAnthDisturb
carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,fDeforestToProduct
mass_flux_of_carbon_into_forestry_and_agricultural_products_due_to_crop_harvesting,kg m-2 s-1,Harvested Biomass That Goes into Product Pool,fHarvestToProduct
litter_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Litter Pool,nLitter
nitrogen_mass_content_of_forestry_and_agricultural_products,kg m-2,Nitrogen Mass in Products of Land-Use Change,nProduct
mass_content_of_nitrogen_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,Total Nitrogen in All Terrestrial Nitrogen Pools,nLand
soil_mass_content_of_inorganic_nitrogen_expressed_as_nitrogen,kg m-2,Mineral Nitrogen in the Soil,nMineral
surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,kg m-2 s-1,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching)",fNloss
tendency_of_soil_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fertilization,kg m-2 s-1,Total Nitrogen Added for Cropland Fertilisation (Artificial and Manure),fNfert
minus_tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_deposition,kg m-2 s-1,Dry and Wet Deposition of Reactive Nitrogen onto Land,fNdep
tendency_of_soil_and_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,kg m-2 s-1,Biological Nitrogen Fixation,fBNF
tendency_of_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,kg m-2 s-1,Total Plant Nitrogen Uptake (Sum of Ammonium and Nitrate) Irrespective of the Source of Nitrogen,fNup
mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_litter_and_soil_due_to_immobilisation_and_remineralization,kg m-2 s-1,Net Nitrogen Release from Soil and Litter as the Outcome of Nitrogen Immobilisation and Gross Mineralisation,fNnetmin
nitrogen_mass_flux_into_litter_from_vegetation,kg m-2 s-1,Total Nitrogen Mass Flux from Vegetation to Litter,fNVegLitter
mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_into_sea_from_rivers,kg m-2 s-1,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,fNLandToOcean
nitrogen_mass_flux_into_soil_from_litter,kg m-2 s-1,Total Nitrogen Mass Flux from Litter to Soil,fNLitterSoil
nitrogen_mass_flux_into_soil_from_vegetation_excluding_litter,kg m-2 s-1,Total Nitrogen Mass Flux from Vegetation Directly to Soil,fNVegSoil
nitrogen_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,Deforested or Harvested Biomass as a Result of Anthropogenic Land-Use or Change,fNProduct
tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_anthropogenic_emission,kg m-2 s-1,Nitrogen Mass Flux out of Land Due to any Human Activity,fNAnthDisturb
area_fraction,%,Needleleaf Deciduous Tree Area Percentage,treeFracNdlDcd
area_fraction,%,Broadleaf Evergreen Tree Area Percentage,treeFracBdlEvg
area_fraction,%,Broadleaf Deciduous Tree Area Percentage,treeFracBdlDcd
area_fraction,%,C3 Natural Grass Area Percentage,grassFracC3
area_fraction,%,C4 Natural Grass Area Percentage,grassFracC4
area_fraction,%,C3 Pasture Area Percentage,pastureFracC3
area_fraction,%,C4 Pasture Area Percentage,pastureFracC4
stem_mass_content_of_carbon,kg m-2,Carbon Mass in Stem,cStem
miscellaneous_living_matter_mass_content_of_carbon,kg m-2,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots",cOther
wood_debris_mass_content_of_carbon,kg m-2,Carbon Mass in Coarse Woody Debris,cLitterCwd
surface_litter_mass_content_of_carbon,kg m-2,Carbon Mass in Above-Ground Litter,cLitterSurf
subsurface_litter_mass_content_of_carbon,kg m-2,Carbon Mass in Below-Ground Litter,cLitterSubSurf
vegetation_carbon_content,kg m-2,Carbon Mass in Vegetation on Tree Tiles,cVegTree
vegetation_carbon_content,kg m-2,Carbon Mass in Vegetation on Shrub Tiles,cVegShrub
vegetation_carbon_content,kg m-2,Carbon Mass in Vegetation on Grass Tiles,cVegGrass
litter_mass_content_of_carbon,kg m-2,Carbon Mass in Litter on Tree Tiles,cLitterTree
litter_mass_content_of_carbon,kg m-2,Carbon Mass in Litter on Shrub Tiles,cLitterShrub
litter_mass_content_of_carbon,kg m-2,Carbon Mass in Litter on Grass Tiles,cLitterGrass
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Soil on Tree Tiles,cSoilTree
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Soil on Shrub Tiles,cSoilShrub
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Soil on Grass Tiles,cSoilGrass
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),cSoilLevels
soil_mass_content_of_carbon,kg m-2,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),cSoilPools
soil_pool_carbon_decay_rate,s-1,Turnover Rate of Each Model Soil Carbon Pool,tSoilPools
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_vegetation_in_fires,kg m-2 s-1,Carbon Mass Flux from Vegetation into Atmosphere Due to CO2 Emission from All Fire [kgC m-2 s-1],fVegFire
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_litter_in_fires,kg m-2 s-1,"Carbon Mass Flux from Litter, CWD or any non-Living Pool into Atmosphere Due to CO2 Emission from All Fire [kgC m-2 s-1]",fLitterFire
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kgC m-2 s-1],fFireAll
mass_flux_of_carbon_into_litter_from_vegetation_due_to_senescence,kg m-2 s-1,"Total Carbon Mass Flux from Vegetation to Litter as a Result of Leaf, Branch, and Root Senescence",fVegLitterSenescence
mass_flux_of_carbon_into_litter_from_vegetation_due_to_mortality,kg m-2 s-1,Total Carbon Mass Flux from Vegetation to Litter as a Result of Mortality,fVegLitterMortality
mass_flux_of_carbon_into_soil_from_vegetation_due_to_senescence,kg m-2 s-1,"Total Carbon Mass Flux from Vegetation to Soil as a Result of Leaf, Branch, and Root Senescence",fVegSoilSenescence
mass_flux_of_carbon_into_soil_from_vegetation_due_to_mortality,kg m-2 s-1,Total Carbon Mass Flux from Vegetation to Soil as a Result of Mortality,fVegSoilMortality
net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_stems,kg m-2 s-1,Net Primary Production Allocated to Stem as Carbon Mass Flux [kgC m-2 s-1],nppStem
net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_miscellaneous_living_matter,kg m-2 s-1,Net Primary Production Allocated to Other Pools (not Leaves Stem or Roots) as Carbon Mass Flux [kgC m-2 s-1],nppOther
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_roots,kg m-2 s-1,Total Respiration from Roots as Carbon Mass Flux [kgC m-2 s-1],raRoot
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_stems,kg m-2 s-1,Total Respiration from Stem as Carbon Mass Flux [kgC m-2 s-1],raStem
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_leaves,kg m-2 s-1,Total Respiration from Leaves as Carbon Mass Flux [kgC m-2 s-1],raLeaf
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_miscellaneous_living_matter,kg m-2 s-1,Total Respiration from Other Pools (not Leaves Stem or Roots) as Carbon Mass Flux [kgC m-2 s-1],raOther
surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_litter,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land,rhLitter
surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_soil,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,rhSoil
gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],gppTree
gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Gross Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],gppShrub
gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Gross Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],gppGrass
net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Net Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],nppTree
net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Net Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],nppShrub
net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Net Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],nppGrass
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,Autotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],raTree
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,Autotrophic Respiration on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],raShrub
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,Autotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],raGrass
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,Heterotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],rhTree
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,Heterotrophic Respiration on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],rhShrub
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,Heterotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],rhGrass
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,kg m-2 s-1,Harvested Biomass That Goes Straight into Atmosphere as Carbon Mass Flux [kgC m-2 s-1],fHarvestToAtmos
surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],fDeforestToAtmos
canopy_height,m,Height of Grass,vegHeightGrass
canopy_height,m,Height of Shrubs,vegHeightShrub
canopy_height,m,Height of Crops,vegHeightCrop
canopy_height,m,Height of Pastures,vegHeightPasture
leaf_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Leaves,nLeaf
stem_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Stem,nStem
root_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Roots,nRoot
miscellaneous_living_matter_mass_content_of_nitrogen,kg m-2,"Nitrogen Mass in Vegetation Components Other than Leaves, Stem and Root",nOther
wood_debris_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Coarse Woody Debris,nLitterCwd
surface_litter_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Above-Ground Litter (non CWD),nLitterSurf
subsurface_litter_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Below-Ground Litter (non CWD),nLitterSubSurf
soil_mass_content_of_inorganic_ammonium_expressed_as_nitrogen,kg m-2,Mineral Ammonium in the Soil,nMineralNH4
soil_mass_content_of_inorganic_nitrate_expressed_as_nitrogen,kg m-2,Mineral Nitrate in the Soil,nMineralNO3
surface_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_production,kg m-2 s-1,Grid Averaged Methane Production (Methanogenesis) from Wetlands,wetlandCH4prod
surface_downward_mass_flux_of_methane_due_to_wetland_biological_consumption,kg m-2 s-1,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands,wetlandCH4cons
mass_flux_of_carbon_out_of_soil_due_to_leaching_and_runoff,kg m-2 s-1,"Total Nitrogen Loss to Leaching or Runoff (Sum of Ammonium, Nitrite and Nitrate)",fNleach
surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_due_to_all_land_processes_excluding_fires,kg m-2 s-1,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from All Processes Except Fire",fNgasNonFire
surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_due_to_emission_from_fires,kg m-2 s-1,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from Fire",fNgasFire
surface_upward_mass_flux_of_nitrous_oxide_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,kg m-2 s-1,Total Land N2O Flux,fN2O
surface_upward_mass_flux_of_nox_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,kg m-2 s-1,Total Land NOx Flux,fNOx
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diatoms,mol m-3 s-1,Net Primary Organic Carbon Production by Diatoms,ppdiat
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diazotrophic_phytoplankton,mol m-3 s-1,Net Primary Mole Productivity of Carbon by Diazotrophs,ppdiaz
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_calcareous_phytoplankton,mol m-3 s-1,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,ppcalc
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_picophytoplankton,mol m-3 s-1,Net Primary Mole Productivity of Carbon by Picophytoplankton,pppico
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_miscellaneous_phytoplankton,mol m-3 s-1,Net Primary Organic Carbon Production by Other Phytoplankton,ppmisc
sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,mol m-2 s-1,Sinking Particulate Organic Nitrogen Flux,expn
sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,mol m-2 s-1,Sinking Particulate Organic Phosphorus Flux,expp
sinking_mole_flux_of_particulate_iron_in_sea_water,mol m-2 s-1,Sinking Particulate Iron Flux,expfe
sinking_mole_flux_of_particulate_silicon_in_sea_water,mol m-2 s-1,Sinking Particulate Silicon Flux,expsi
sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,mol m-2 s-1,Downward Flux of Calcite,expcalc
sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,mol m-2 s-1,Downward Flux of Aragonite,exparag
liquid_water_cloud_area_fraction,%,MODIS Liquid Cloud Percentage,clwmodis
ice_cloud_area_fraction,%,MODIS Ice Cloud Area Percentage,climodis
cloud_area_fraction,%,MODIS Total Cloud Cover Percentage,cltmodis
liquid_water_cloud_area_fraction_in_atmosphere_layer,%,CALIPSO Liquid Cloud Percentage,clcalipsoliq
ice_cloud_area_fraction_in_atmosphere_layer,%,CALIPSO Ice Cloud Percentage,clcalipsoice
tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,K s-1,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,tntrlcs
tendency_of_air_temperature_due_to_shortwave_heating_assuming_clear_sky,K s-1,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,tntrscs
tendency_of_air_temperature_due_to_diffusion,K s-1,Tendency of Air Temperature Due to Numerical Diffusion,tntd
tendency_of_air_temperature_due_to_boundary_layer_mixing,K s-1,Tendency of Air Temperature Due to Boundary Layer Mixing,tntpbl
tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation,K s-1,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,tntscp
tendency_of_specific_humidity_due_to_boundary_layer_mixing,s-1,Tendency of Specific Humidity Due to Boundary Layer Mixing,tnhuspbl
tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation,s-1,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,tnhusscp
surface_altitude,m,Surface Altitude,orog
tendency_of_eastward_wind_due_to_numerical_artefacts,m s-2,Tendency of Eastward Wind from Numerical Artefacts,diabdrag
integral_wrt_depth_of_product_of_salinity_and_sea_water_density,g m-2,Depth Integral of Product of Sea Water Density and Prognostic Salinity,somint
surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],netAtmosLandCO2Flux
sea_water_potential_temperature,degC,Depth Average Potential Temperature of Upper 300m,thetaot300
sea_water_potential_temperature,degC,Depth Average Potential Temperature of Upper 700m,thetaot700
sea_water_potential_temperature,degC,Depth Average Potential Temperature of Upper 2000m,thetaot2000
mole_fraction_of_carbon_dioxide_in_air,1e-06,Atmosphere CO2,co2s
wind_speed,m s-1,Daily Maximum Near-Surface Wind Speed,sfcWindmax
tendency_of_northward_wind_due_to_orographic_gravity_wave_drag,m s-2,Northward Acceleration Due to Orographic Gravity Wave Drag,vtendogw
sea_water_added_potential_temperature,degC,Sea Water Additional Potential Temperature,pathetao
sea_water_redistributed_potential_temperature,degC,Sea Water Redistributed Potential Temperature,prthetao
sea_water_added_conservative_temperature,degC,Sea Water Added Conservative Temperature,pabigthetao
sea_water_redistributed_conservative_temperature,degC,Sea Water Redistributed Conservative Temperature,prbigthetao
tendency_of_sea_water_potential_temperature_expressed_as_heat_content,W m-2,Tendency of Sea Water Potential Temperature Expressed as Heat Content,opottemptend
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection,W m-2,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,opottemprmadvect
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,W m-2,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,opottemppadvect
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,W m-2,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,opottemppmdiff
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,W m-2,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,opottemppsmadvect
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing,W m-2,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,opottempdiff
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content,W m-2,Tendency of Sea Water Conservative Temperature Expressed as Heat Content,ocontemptend
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_residual_mean_advection,W m-2,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection,ocontemprmadvect
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,W m-2,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,ocontemppadvect
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,W m-2,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,ocontemppmdiff
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,W m-2,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,ocontemppsmadvect
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing,W m-2,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,ocontempdiff
tendency_of_sea_water_salinity_expressed_as_salt_content,kg m-2 s-1,Tendency of Sea Water Salinity Expressed as Salt Content,osalttend
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_residual_mean_advection,kg m-2 s-1,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,osaltrmadvect
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_advection,kg m-2 s-1,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,osaltpadvect
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_mesoscale_eddy_diffusion,kg m-2 s-1,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,osaltpmdiff
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection,kg m-2 s-1,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,osaltpsmadvect
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_dianeutral_mixing,kg m-2 s-1,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,osaltdiff
net_rate_of_absorption_of_shortwave_energy_in_ocean_layer,W m-2,Net Rate of Absorption of Shortwave Energy in Ocean Layer,rsdoabsorb
integral_wrt_depth_of_product_of_potential_temperature_and_sea_water_density,degC kg m-2,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,opottempmint
integral_wrt_depth_of_product_of_conservative_temperature_and_sea_water_density,degC kg m-2,Depth Integral of Product of Sea Water Density and Conservative Temperature,ocontempmint
number_concentration_of_coarse_mode_ambient_aerosol_particles_in_air,m-3,Number Concentration Coarse Mode Aerosol,conccmcn
number_concentration_of_nucleation_mode_ambient_aerosol_particles_in_air,m-3,Number Concentration of Nucleation Mode Aerosol,concnmcn
number_concentration_of_ambient_aerosol_particles_in_air,m-3,Aerosol Number Concentration,conccn
mass_concentration_of_sulfate_dry_aerosol_particles_in_air,kg m-3,Surface Concentration of SO4,sconcso4
number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,m-3,Cloud Droplet Number Concentration of Cloud Tops,cldncl
mass_concentration_of_sea_salt_dry_aerosol_particles_in_air,kg m-3,Surface Concentration of Sea-Salt Aerosol,sconcss
mass_concentration_of_dust_dry_aerosol_particles_in_air,kg m-3,Surface Concentration of Dust,sconcdust
atmosphere_net_upward_convective_mass_flux,kg m-2 s-1,Column Integrated Mass Flux,columnmassflux
integral_wrt_height_of_product_of_eastward_wind_and_specific_humidity,m2 s-1,Eastward Humidity Transport,uqint
integral_wrt_height_of_product_of_northward_wind_and_specific_humidity,m2 s-1,Northward Humidity Transport,vqint
square_of_eastward_wind,m2 s-2,Mean-Squared Eastward Wind Speed,u2
square_of_northward_wind,m2 s-2,Mean-Squared Northward Wind Speed,v2
square_of_lagrangian_tendency_of_air_pressure,Pa2 s-2,Mean-Squared Vertical Velocity (Omega),wap2
square_of_air_temperature,K2,Mean-Squared Air Temperature,t2
product_of_eastward_wind_and_northward_wind,m2 s-2,Product of Eastward Wind and Northward Wind,uv
product_of_eastward_wind_and_lagrangian_tendency_of_air_pressure,Pa m s-2,Product of Eastward Wind and Omega,uwap
product_of_northward_wind_and_lagrangian_tendency_of_air_pressure,Pa m s-2,Product of Northward Wind and Omega,vwap
product_of_eastward_wind_and_air_temperature,K m s-1,Product of Air Temperature and Eastward Wind,ut
product_of_northward_wind_and_air_temperature,K m s-1,Product of Air Temperature and Northward Wind,vt
product_of_lagrangian_tendency_of_air_pressure_and_air_temperature,K Pa s-1,Product of Air Temperature and Omega,twap
atmosphere_eastward_stress_due_to_gravity_wave_drag,Pa,Eastward Gravity Wave Drag,xgwdparam
atmosphere_northward_stress_due_to_gravity_wave_drag,Pa,Northward Gravity Wave Drag,ygwdparam
water_flux_into_sea_water_from_land_ice,kg m-2 s-1,Water Flux into Sea Water from Land Ice,flandice
surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,kg m-2 s-1,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],nep
